NumeroPunto,FechaPunto,Delta,PuntoSimulacion
1,2023-01-01 00:20,0,0
2,2023-01-01 00:23,3,1
3,2023-01-01 00:40,17,2
4,2023-01-01 01:00,20,3
5,2023-01-01 02:00,60,4
6,2023-01-01 02:50,50,5
7,2023-01-01 03:00,10,6
8,2023-01-01 04:00,60,7
9,2023-01-01 05:00,60,8
10,2023-01-01 05:40,40,9
11,2023-01-01 06:00,20,10
12,2023-01-01 07:00,60,11
13,2023-01-01 08:00,60,12
14,2023-01-01 09:00,60,13
15,2023-01-01 10:00,60,14
16,2023-01-01 11:00,60,15
17,2023-01-01 12:00,60,16
18,2023-01-01 13:00,60,17
19,2023-01-01 14:00,60,18
20,2023-01-01 15:00,60,19
21,2023-01-01 16:00,60,20
22,2023-01-01 17:00,60,21
23,2023-01-01 18:00,60,22
24,2023-01-01 19:00,60,23
25,2023-01-01 20:00,60,24
26,2023-01-01 21:00,60,25
27,2023-01-01 22:00,60,26
28,2023-01-01 22:40,40,27
29,2023-01-01 23:00,20,28
30,2023-01-01 23:20,20,29
